TILE-ID,RA,DEC
DESI_0,150.37454011884736,2.031429185686734
DESI_1,150.9507143064099,2.6364104112637805
DESI_2,150.7319939418114,2.314355981076327
DESI_3,150.59865848419705,2.508570691164703
DESI_4,150.15601864044243,2.907566473926093
DESI_5,150.1559945203362,2.249292229148875
DESI_6,150.0580836121682,2.4103829230356295
DESI_7,150.86617614577494,2.7555511385430487
DESI_8,150.60111501174322,2.2287981654916225
DESI_9,150.70807257779606,2.076979909828793
DESI_10,150.0205844942958,2.289751452913768
DESI_11,150.969909852162,2.1612212872540044
DESI_12,150.83244264080042,2.929697652342573
DESI_13,150.21233911067827,2.808120379564417
DESI_14,150.1818249672071,2.6334037565104236
DESI_15,150.18340450985343,2.8714605901877177
DESI_16,150.30424224295953,2.8036720768991144
DESI_17,150.52475643163223,2.1865700588860357
DESI_18,150.43194501864212,2.892558998489978
DESI_19,150.29122914019806,2.5393422419156506
DESI_20,150.61185289472238,2.8074401551640626
DESI_21,150.13949386065204,2.8960912999234933
DESI_22,150.2921446485352,2.3180034749718637
DESI_23,150.3663618432937,2.110051924527677
DESI_24,150.45606998421704,2.2279351625419417
DESI_25,150.785175961393,2.427107788626256
DESI_26,150.19967378215836,2.8180147659224932
DESI_27,150.5142344384136,2.8607305832563434
DESI_28,150.59241456886204,2.006952130531191
DESI_29,150.04645041272,2.510747302577566
DESI_30,150.60754485190145,2.417411003148779
DESI_31,150.1705241236873,2.2221078104707304
DESI_32,150.06505159298527,2.119865367333683
DESI_33,150.94888553725335,2.3376151714036277
DESI_34,150.96563203307457,2.942909703912519
DESI_35,150.80839734811647,2.323202932020755
DESI_36,150.30461376917336,2.518790621743366
DESI_37,150.09767211400637,2.7030189588951776
DESI_38,150.68423302651215,2.363629602379294
DESI_39,150.4401524937396,2.971782082720961
DESI_40,150.12203823484478,2.9624472949421112
DESI_41,150.49517691011127,2.251782295825364
DESI_42,150.0343885211152,2.4972485058923857
DESI_43,150.90932040207878,2.3008783098167696
DESI_44,150.25877998160001,2.284840494377468
DESI_45,150.66252228435397,2.0368869473545326
DESI_46,150.3117110760894,2.609564333979897
DESI_47,150.52006802117782,2.5026790232288616
DESI_48,150.54671027934327,2.0514787512499892
DESI_49,150.18485445552554,2.2786464642366115
DESI_50,150.96958462776456,2.908265885966654
DESI_51,150.7751328233611,2.2395618906669723
DESI_52,150.93949894156418,2.144894872091223
DESI_53,150.89482735042765,2.489452760277563
DESI_54,150.59789997881109,2.985650454110601
DESI_55,150.92187423502313,2.2420552715115005
DESI_56,150.0884925020519,2.6721355474058788
DESI_57,150.19598286241916,2.7616196153287174
DESI_58,150.04522728891052,2.2376375439924
DESI_59,150.32533033076325,2.7282163486118596
DESI_60,150.38867728968947,2.367783132719253
DESI_61,150.2713490317739,2.6323058305935794
DESI_62,150.82873750915192,2.633529710760895
DESI_63,150.3567533266936,2.5357746840747586
DESI_64,150.28093450968737,2.090289770054408
DESI_65,150.54269608315826,2.835302495589238
DESI_66,150.14092422497475,2.3207800649717356
DESI_67,150.80219698075405,2.1865185103998543
DESI_68,150.07455064367977,2.040775141554764
DESI_69,150.9868869366005,2.590892943188242
DESI_70,150.77224476929666,2.6775643618422826
DESI_71,150.19871568153417,2.016587828927856
DESI_72,150.0055221171236,2.512093058299281
DESI_73,150.81546142845482,2.2264957751979377
DESI_74,150.70685734384762,2.64517279040945
DESI_75,150.729007168041,2.1743664290049916
DESI_76,150.77127034668595,2.690937738102466
DESI_77,150.07404465173408,2.3867353463005374
DESI_78,150.35846572854427,2.9367299887367344
DESI_79,150.11586905952512,2.1375209441459933
DESI_80,150.8631034258756,2.3410663510502587
DESI_81,150.62329812682756,2.1134735212405893
DESI_82,150.33089802485264,2.924693618278563
DESI_83,150.06355835028603,2.877339353380981
DESI_84,150.31098232171567,2.2579416277151556
DESI_85,150.32518332202676,2.659984046034179
DESI_86,150.72960617833806,2.8172222002012157
DESI_87,150.63755747135522,2.5552008115994624
DESI_88,150.88721274257634,2.5296505783560064
DESI_89,150.47221492516195,2.241852290900452
DESI_90,150.1195942459383,2.0931027678058993
DESI_91,150.713244787223,2.897215757953327
DESI_92,150.7607850486169,2.9004180571633302
DESI_93,150.5612771975695,2.633101457273268
DESI_94,150.77096717995457,2.339029791048701
DESI_95,150.49379559636438,2.3492095746126607
DESI_96,150.522732829382,2.7259556788702395
DESI_97,150.42754101835854,2.8971102599525773
DESI_98,150.02541912674408,2.8870864242651173
DESI_99,150.37626498705418,2.033504593563716
